stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000261707,9606.ENSP00000316244,SLC6A4,HTR1A,9606,0.968,0,0,0,0.054,0,0,0.968
9606.ENSP00000276198,9606.ENSP00000440185,HTR2C,PDYN,9606,0.449,0,0,0,0.19,0,0,0.348
9606.ENSP00000276198,9606.ENSP00000355316,HTR2C,GRM3,9606,0.452,0,0,0,0.15,0,0,0.381
9606.ENSP00000276198,9606.ENSP00000378492,HTR2C,GRM2,9606,0.486,0,0,0,0.093,0,0,0.456
9606.ENSP00000276198,9606.ENSP00000384364,HTR2C,NPY,9606,0.519,0,0,0,0.067,0,0,0.506
9606.ENSP00000276198,9606.ENSP00000354511,HTR2C,COMT,9606,0.573,0,0,0,0,0,0,0.573
9606.ENSP00000276198,9606.ENSP00000496339,HTR2C,SLC18A2,9606,0.61,0,0,0,0,0,0,0.61
9606.ENSP00000276198,9606.ENSP00000316244,HTR2C,HTR1A,9606,0.617,0,0,0,0.133,0,0,0.576
9606.ENSP00000276198,9606.ENSP00000340684,HTR2C,MAOA,9606,0.691,0,0,0,0.063,0,0,0.684
9606.ENSP00000276198,9606.ENSP00000358963,HTR2C,HTR1B,9606,0.721,0,0,0,0.068,0,0.36,0.57
9606.ENSP00000276198,9606.ENSP00000384092,HTR2C,POMC,9606,0.745,0,0,0,0,0.094,0,0.73
9606.ENSP00000276198,9606.ENSP00000329093,HTR2C,TPH2,9606,0.752,0,0,0,0.044,0,0,0.752
9606.ENSP00000276198,9606.ENSP00000437737,HTR2C,HTR2A,9606,0.991,0,0,0,0.063,0.573,0.9,0.816
9606.ENSP00000297323,9606.ENSP00000358867,ADCY1,GNAI3,9606,0.852,0,0,0,0.055,0.131,0.65,0.545
9606.ENSP00000316244,9606.ENSP00000355316,HTR1A,GRM3,9606,0.447,0,0,0,0.162,0,0,0.367
9606.ENSP00000316244,9606.ENSP00000366233,HTR1A,GABBR1,9606,0.469,0,0,0,0.097,0,0,0.436
9606.ENSP00000316244,9606.ENSP00000440185,HTR1A,PDYN,9606,0.498,0,0,0,0.175,0,0,0.417
9606.ENSP00000316244,9606.ENSP00000378492,HTR1A,GRM2,9606,0.588,0,0,0,0.099,0,0,0.562
9606.ENSP00000316244,9606.ENSP00000496339,HTR1A,SLC18A2,9606,0.616,0,0,0,0,0,0,0.616
9606.ENSP00000316244,9606.ENSP00000384092,HTR1A,POMC,9606,0.64,0,0,0,0.055,0.094,0,0.613
9606.ENSP00000316244,9606.ENSP00000354511,HTR1A,COMT,9606,0.647,0,0,0,0,0,0,0.647
9606.ENSP00000316244,9606.ENSP00000329093,HTR1A,TPH2,9606,0.694,0,0,0,0.052,0,0,0.69
9606.ENSP00000316244,9606.ENSP00000337949,HTR1A,HTR7,9606,0.701,0,0,0,0,0,0,0.701
9606.ENSP00000316244,9606.ENSP00000358867,HTR1A,GNAI3,9606,0.721,0,0,0,0,0.133,0.65,0.154
9606.ENSP00000316244,9606.ENSP00000384364,HTR1A,NPY,9606,0.831,0,0,0,0.105,0,0.65,0.506
9606.ENSP00000316244,9606.ENSP00000340684,HTR1A,MAOA,9606,0.861,0,0,0,0,0,0,0.861
9606.ENSP00000316244,9606.ENSP00000358963,HTR1A,HTR1B,9606,0.914,0,0,0,0.083,0.322,0,0.873
9606.ENSP00000316244,9606.ENSP00000437737,HTR1A,HTR2A,9606,0.92,0,0,0,0.113,0.324,0,0.878
9606.ENSP00000329093,9606.ENSP00000384092,TPH2,POMC,9606,0.409,0,0,0,0,0,0,0.409
9606.ENSP00000329093,9606.ENSP00000354511,TPH2,COMT,9606,0.599,0,0,0,0,0,0,0.599
9606.ENSP00000329093,9606.ENSP00000340684,TPH2,MAOA,9606,0.687,0,0,0,0,0,0,0.687
9606.ENSP00000329093,9606.ENSP00000496339,TPH2,SLC18A2,9606,0.72,0,0,0,0,0.087,0,0.706
9606.ENSP00000329093,9606.ENSP00000437737,TPH2,HTR2A,9606,0.762,0,0,0,0,0,0,0.762
9606.ENSP00000329093,9606.ENSP00000358963,TPH2,HTR1B,9606,0.807,0,0,0,0.051,0,0,0.804
9606.ENSP00000337949,9606.ENSP00000340684,HTR7,MAOA,9606,0.475,0,0,0,0,0,0,0.475
9606.ENSP00000337949,9606.ENSP00000437737,HTR7,HTR2A,9606,0.493,0,0,0,0.086,0,0,0.468
9606.ENSP00000340684,9606.ENSP00000384364,MAOA,NPY,9606,0.446,0,0,0,0,0,0,0.446
9606.ENSP00000340684,9606.ENSP00000384092,MAOA,POMC,9606,0.541,0,0,0,0,0,0,0.541
9606.ENSP00000340684,9606.ENSP00000358963,MAOA,HTR1B,9606,0.734,0,0,0,0,0,0,0.734
9606.ENSP00000340684,9606.ENSP00000437737,MAOA,HTR2A,9606,0.786,0,0,0,0,0,0,0.786
9606.ENSP00000340684,9606.ENSP00000496339,MAOA,SLC18A2,9606,0.793,0,0,0,0.042,0,0,0.792
9606.ENSP00000340684,9606.ENSP00000354511,MAOA,COMT,9606,0.996,0,0,0,0,0,0.91,0.963
9606.ENSP00000354511,9606.ENSP00000384364,COMT,NPY,9606,0.433,0,0,0,0,0,0,0.433
9606.ENSP00000354511,9606.ENSP00000384092,COMT,POMC,9606,0.489,0,0,0,0.042,0,0,0.489
9606.ENSP00000354511,9606.ENSP00000358963,COMT,HTR1B,9606,0.58,0,0,0,0,0,0,0.58
9606.ENSP00000354511,9606.ENSP00000496339,COMT,SLC18A2,9606,0.672,0,0,0,0,0,0,0.672
9606.ENSP00000354511,9606.ENSP00000355316,COMT,GRM3,9606,0.737,0,0.004,0,0,0.06,0,0.732
9606.ENSP00000354511,9606.ENSP00000437737,COMT,HTR2A,9606,0.864,0,0,0,0,0,0,0.864
9606.ENSP00000355316,9606.ENSP00000437737,GRM3,HTR2A,9606,0.536,0,0,0,0.115,0.07,0,0.481
9606.ENSP00000355316,9606.ENSP00000366233,GRM3,GABBR1,9606,0.662,0,0,0,0.105,0.105,0.5,0.255
9606.ENSP00000355316,9606.ENSP00000358867,GRM3,GNAI3,9606,0.903,0,0,0,0.052,0,0.9,0.066
9606.ENSP00000355316,9606.ENSP00000378492,GRM3,GRM2,9606,0.939,0,0,0.054,0.074,0,0.9,0.39
9606.ENSP00000358867,9606.ENSP00000358963,GNAI3,HTR1B,9606,0.7,0,0,0,0,0.133,0.65,0.092
9606.ENSP00000358867,9606.ENSP00000378492,GNAI3,GRM2,9606,0.903,0,0,0,0.052,0,0.9,0.067
9606.ENSP00000358867,9606.ENSP00000366233,GNAI3,GABBR1,9606,0.909,0,0,0,0,0,0.9,0.132
9606.ENSP00000358963,9606.ENSP00000496339,HTR1B,SLC18A2,9606,0.548,0,0,0,0,0,0,0.548
9606.ENSP00000358963,9606.ENSP00000384092,HTR1B,POMC,9606,0.652,0,0,0,0.055,0.094,0,0.626
9606.ENSP00000358963,9606.ENSP00000384364,HTR1B,NPY,9606,0.807,0,0,0,0,0,0.65,0.472
9606.ENSP00000358963,9606.ENSP00000437737,HTR1B,HTR2A,9606,0.839,0,0,0,0.075,0.045,0.36,0.75
9606.ENSP00000366233,9606.ENSP00000378492,GABBR1,GRM2,9606,0.684,0,0,0,0.102,0.105,0.5,0.307
9606.ENSP00000366233,9606.ENSP00000384364,GABBR1,NPY,9606,0.785,0,0,0,0.064,0,0.65,0.399
9606.ENSP00000378492,9606.ENSP00000440185,GRM2,PDYN,9606,0.403,0,0,0,0.092,0,0,0.37
9606.ENSP00000378492,9606.ENSP00000437737,GRM2,HTR2A,9606,0.998,0,0,0,0.064,0.343,0,0.997
9606.ENSP00000384092,9606.ENSP00000437737,POMC,HTR2A,9606,0.537,0,0,0,0,0.094,0,0.51
9606.ENSP00000384092,9606.ENSP00000384364,POMC,NPY,9606,0.986,0,0,0,0.077,0,0.5,0.973
9606.ENSP00000384092,9606.ENSP00000440185,POMC,PDYN,9606,0.994,0,0,0,0,0,0.9,0.948
9606.ENSP00000384364,9606.ENSP00000496339,NPY,SLC18A2,9606,0.449,0,0,0,0,0,0,0.449
9606.ENSP00000384364,9606.ENSP00000437737,NPY,HTR2A,9606,0.491,0,0,0,0.073,0,0,0.474
9606.ENSP00000384364,9606.ENSP00000440185,NPY,PDYN,9606,0.932,0,0,0,0.097,0,0.5,0.862
9606.ENSP00000437737,9606.ENSP00000496339,HTR2A,SLC18A2,9606,0.587,0,0,0,0,0,0,0.587
