stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000250018,9606.ENSP00000378492,TPH1,GRM2,9606,0.436,0,0,0,0,0,0,0.436
9606.ENSP00000250018,9606.ENSP00000337949,TPH1,HTR7,9606,0.607,0,0,0,0.049,0,0,0.604
9606.ENSP00000250018,9606.ENSP00000354511,TPH1,COMT,9606,0.636,0,0,0,0,0,0,0.636
9606.ENSP00000250018,9606.ENSP00000496339,TPH1,SLC18A2,9606,0.653,0,0,0,0.049,0.087,0,0.633
9606.ENSP00000250018,9606.ENSP00000316244,TPH1,HTR1A,9606,0.689,0,0,0,0.049,0,0,0.687
9606.ENSP00000250018,9606.ENSP00000340684,TPH1,MAOA,9606,0.729,0,0,0,0,0,0,0.729
9606.ENSP00000250018,9606.ENSP00000276198,TPH1,HTR2C,9606,0.844,0,0,0,0,0,0,0.844
9606.ENSP00000250018,9606.ENSP00000358963,TPH1,HTR1B,9606,0.895,0,0,0,0.049,0,0,0.894
9606.ENSP00000250018,9606.ENSP00000437737,TPH1,HTR2A,9606,0.901,0,0,0,0,0,0,0.901
9606.ENSP00000250018,9606.ENSP00000261707,TPH1,SLC6A4,9606,0.95,0,0,0,0,0,0,0.95
9606.ENSP00000250018,9606.ENSP00000329093,TPH1,TPH2,9606,0.96,0,0,0.052,0.044,0.61,0.9,0.061
9606.ENSP00000259455,9606.ENSP00000316244,GABBR2,HTR1A,9606,0.403,0,0,0,0.142,0,0,0.332
9606.ENSP00000259455,9606.ENSP00000276198,GABBR2,HTR2C,9606,0.439,0,0,0,0.13,0,0,0.381
9606.ENSP00000259455,9606.ENSP00000261707,GABBR2,SLC6A4,9606,0.542,0,0,0,0,0,0,0.542
9606.ENSP00000259455,9606.ENSP00000378492,GABBR2,GRM2,9606,0.66,0,0,0,0.081,0.105,0.5,0.27
9606.ENSP00000259455,9606.ENSP00000355316,GABBR2,GRM3,9606,0.705,0,0,0,0.196,0.105,0.5,0.277
9606.ENSP00000259455,9606.ENSP00000384364,GABBR2,NPY,9606,0.721,0,0,0,0.083,0,0.65,0.203
9606.ENSP00000259455,9606.ENSP00000358867,GABBR2,GNAI3,9606,0.936,0,0,0,0,0,0.9,0.393
9606.ENSP00000259455,9606.ENSP00000366233,GABBR2,GABBR1,9606,0.999,0,0,0,0.105,0.992,0.9,0.985
9606.ENSP00000261707,9606.ENSP00000378492,SLC6A4,GRM2,9606,0.4,0,0,0,0.055,0,0,0.392
9606.ENSP00000261707,9606.ENSP00000440185,SLC6A4,PDYN,9606,0.445,0,0,0,0,0,0,0.445
9606.ENSP00000261707,9606.ENSP00000384364,SLC6A4,NPY,9606,0.52,0,0,0,0.044,0,0,0.519
9606.ENSP00000261707,9606.ENSP00000384092,SLC6A4,POMC,9606,0.601,0,0,0,0.057,0,0,0.595
9606.ENSP00000261707,9606.ENSP00000337949,SLC6A4,HTR7,9606,0.645,0,0,0,0.054,0,0,0.64
9606.ENSP00000261707,9606.ENSP00000496339,SLC6A4,SLC18A2,9606,0.886,0,0,0,0.085,0,0,0.88
9606.ENSP00000261707,9606.ENSP00000276198,SLC6A4,HTR2C,9606,0.914,0,0,0,0,0,0,0.914
9606.ENSP00000261707,9606.ENSP00000329093,SLC6A4,TPH2,9606,0.925,0,0,0,0,0,0,0.925
9606.ENSP00000261707,9606.ENSP00000358963,SLC6A4,HTR1B,9606,0.932,0,0,0,0.054,0,0,0.931
9606.ENSP00000261707,9606.ENSP00000340684,SLC6A4,MAOA,9606,0.942,0,0,0,0.044,0,0,0.942
9606.ENSP00000261707,9606.ENSP00000354511,SLC6A4,COMT,9606,0.943,0,0,0,0,0,0,0.943
9606.ENSP00000261707,9606.ENSP00000437737,SLC6A4,HTR2A,9606,0.961,0,0,0,0,0,0,0.961
