,Country,Confirmed,Deaths,Population (million),ISO,Cases per Million,Deaths per Million
1,Afghanistan,51526,2191,38.04,AFG,1354.52,57.6
2,Albania,58316,1181,2.88,ALB,20248.61,410.07
3,Algeria,99610,2756,43.05,DZA,2313.82,64.02
5,Angola,17553,405,31.83,AGO,551.46,12.72
7,Argentina,1625514,43245,44.78,ARG,36300,965.72
8,Armenia,159409,2823,2.96,ARM,53854.39,953.72
10,Australia,28429,909,25.2,AUS,1128.13,36.07
11,Austria,360817,6222,8.96,AUT,40269.75,694.42
12,Azerbaijan,218700,2641,10.05,AZE,21761.19,262.79
15,Bahrain,92675,352,1.64,BHR,56509.15,214.63
16,Bangladesh,513510,7559,163.05,BGD,3149.4,46.36
18,Belarus,194284,1424,9.45,BLR,20559.15,150.69
19,Belgium,1161887,33286,11.54,BEL,100683.45,2884.4
21,Benin,3251,44,11.8,BEN,275.51,3.73
23,Bolivia,160124,9165,11.51,BOL,13911.73,796.26
24,Bosnia and Herzegovina,110985,4050,3.3,BIH,33631.82,1227.27
25,Botswana,14805,42,2.3,BWA,6436.96,18.26
26,Brazil,7947858,212932,211.05,BRA,37658.65,1008.92
28,Bulgaria,202266,7576,7,BGR,28895.14,1082.29
29,Burkina Faso,6707,85,20.32,BFA,330.07,4.18
31,Burundi,818,2,11.53,BDI,70.95,0.17
33,Cambodia,378,0,16.49,KHM,22.92,0
34,Cameroon,26277,448,25.88,CMR,1015.34,17.31
35,Canada,584446,15762,37.41,CAN,15622.72,421.33
38,Central African Republic,4963,63,4.75,CAF,1044.84,13.26
39,Chad,2113,104,15.95,TCD,132.48,6.52
41,Chile,658552,17117,18.95,CHL,34752.08,903.27
42,China,0,0,1433.78,CHN,0,0
43,Colombia,1666879,44016,50.34,COL,33112.42,874.37
45,Republic of the Congo,7107,108,5.38,COG,1321,20.07
46,DR Congo,17658,591,86.79,COD,203.46,6.81
47,Costa Rica,169321,2185,5.05,CRI,33528.91,432.67
48,Croatia,210837,3920,4.13,HRV,51050.12,949.15
49,Cuba,11863,146,11.33,CUB,1047.04,12.89
51,Cyprus,22019,119,1.2,CYP,18349.17,99.17
52,Czech Republic,718661,11580,10.69,CZE,67227.41,1083.26
53,Denmark,164116,1298,5.77,DNK,28442.98,224.96
57,Dominican Republic,170785,2414,10.74,DOM,15901.77,224.77
59,Ecuador,212512,14034,17.37,ECU,12234.43,807.94
60,Egypt,138062,7631,100.39,EGY,1375.26,76.01
61,El Salvador,46242,1327,6.45,SLV,7169.3,205.74
62,Equatorial Guinea,5277,86,1.36,GNQ,3880.15,63.24
63,Eritrea,1320,3,3.5,ERI,377.14,0.86
64,Estonia,27990,229,1.33,EST,21045.11,172.18
66,Ethiopia,124264,1923,112.08,ETH,1108.71,17.16
69,Finland,36107,561,5.53,FIN,6529.29,101.45
70,France,2678116,64766,65.13,FRA,41119.55,994.41
72,Gabon,9571,64,2.17,GAB,4410.6,29.49
73,Gambia,3797,124,2.35,GMB,1615.74,52.77
75,Georgia,227420,2505,4,GEO,56855,626.25
76,Germany,1934623,41652,83.52,DEU,23163.59,498.71
77,Ghana,54771,335,30.42,GHA,1800.49,11.01
79,Greece,138850,4838,10.47,GRC,13261.7,462.08
84,Guatemala,138012,4813,17.58,GTM,7850.51,273.78
86,Guinea,13722,81,12.77,GIN,1074.55,6.34
87,Guinea-Bissau,2452,45,1.92,GNB,1277.08,23.44
89,Haiti,9999,236,11.26,HTI,888.01,20.96
91,Honduras,121827,3130,9.75,HND,12495.08,321.03
92,Hong Kong,8846,148,7.44,HKG,1188.98,19.89
93,Hungary,322514,9537,9.68,HUN,33317.56,985.23
95,India,10542842,156488,1366.42,IND,7715.67,114.52
96,Indonesia,743198,22138,270.63,IDN,2746.18,81.8
97,Iran,1225142,55223,82.91,IRN,14776.77,666.06
98,Iraq,595291,12813,39.31,IRQ,15143.5,325.95
99,Ireland,91779,2237,4.88,IRL,18807.17,458.4
100,Israel,423263,3325,8.52,ISR,49678.76,390.26
101,Italy,2329270,105265,60.55,ITA,38468.54,1738.48
102,Ivory Coast,22490,137,25.72,CIV,874.42,5.33
103,Jamaica,12827,302,2.95,JAM,4348.14,102.37
104,Japan,252462,4150,126.86,JPN,1990.08,32.71
106,Jordan,294494,3834,10.1,JOR,29157.82,379.6
107,Kazakhstan,201196,2761,18.55,KAZ,10846.15,148.84
108,Kenya,96458,1670,52.57,KEN,1834.85,31.77
111,Kuwait,150584,934,4.21,KWT,35768.17,221.85
112,Kyrgyzstan,81034,1355,6.42,KGZ,12622.12,211.06
113,Laos,41,0,7.17,LAO,5.72,0
114,Latvia,40904,635,1.91,LVA,21415.71,332.46
115,Lebanon,181504,1468,6.86,LBN,26458.31,213.99
116,Lesotho,3094,51,2.13,LSO,1452.58,23.94
117,Liberia,1779,83,4.94,LBR,360.12,16.8
118,Libya,100277,1478,6.78,LBY,14790.12,217.99
120,Lithuania,141955,1796,2.76,LTU,51432.97,650.72
124,Madagascar,17714,261,26.97,MDG,656.8,9.68
125,China,87071,4634,1433.78,CHN,60.73,3.23
126,Malawi,6583,189,18.63,MWI,353.35,10.14
127,Malaysia,113010,471,31.95,MYS,3537.09,14.74
129,Mali,7090,269,19.66,MLI,360.63,13.68
133,Mauritania,14364,347,4.53,MRT,3170.86,76.6
134,Mauritius,527,10,1.27,MUS,414.96,7.87
136,Mexico,1426094,125807,127.58,MEX,11178.04,986.1
138,Moldova,144818,2985,4.04,MDA,35846.04,738.86
140,Mongolia,1220,1,3.23,MNG,377.71,0.31
142,Morocco,439193,7388,36.47,MAR,12042.58,202.58
143,Mozambique,18642,166,30.37,MOZ,613.83,5.47
144,Namibia,23941,205,2.49,NAM,9614.86,82.33
145,Nepal,260593,1856,28.61,NPL,9108.46,64.87
146,Netherlands,859733,17662,17.1,NLD,50276.78,1032.87
147,New Zealand,2162,25,4.78,NZL,452.3,5.23
148,Nicaragua,6046,165,6.55,NIC,923.05,25.19
149,Niger,3323,104,23.31,NER,142.56,4.46
150,Nigeria,87607,1289,200.96,NGA,435.94,6.41
152,Macedonia,83329,2503,2.08,MKD,40062.02,1203.37
153,Norway,49567,436,5.38,NOR,9213.2,81.04
154,Oman,128867,1499,4.97,OMN,25928.97,301.61
156,Pakistan,595880,12431,216.57,PAK,2751.44,57.4
157,Palestine,22,0,4.98,PSE,4.42,0
158,Panama,246790,4022,4.25,PAN,58068.24,946.35
159,Papua New Guinea,780,9,8.78,PNG,88.84,1.03
160,Paraguay,107932,2262,7.04,PRY,15331.25,321.31
161,Peru,1151042,41663,32.51,PER,35405.78,1281.54
162,Philippines,474064,9244,108.12,PHL,4384.61,85.5
163,Poland,1294878,28554,37.89,POL,34174.66,753.6
164,Portugal,413678,6906,10.23,PRT,40437.73,675.07
165,Puerto Rico,0,0,2.93,PRI,0,0
166,Qatar,143834,245,2.83,QAT,50824.73,86.57
167,Ireland,21,0,4.88,IRL,4.3,0
168,Republic of the Congo,0,0,5.38,COG,0,0
170,Romania,632263,15767,19.36,ROU,32658.21,814.41
171,Russia,3533190,60964,145.87,RUS,24221.5,417.93
172,Rwanda,8383,92,12.63,RWA,663.74,7.28
